date,zeniba,haregamine,seikaen,kagamiko,kanazawa,osawa,shiyakusho,tamagawahoikuen,izuminohoikuen,hakubutsukan,kohigashihoikuen,yonezawahoikuen,kashiwabarakominkan,kirigamine,shirakabako,kitayatsugatake,okutateshina,minoto,haramura,toyokanko,tokyu,alpico,village,mitsuinomori,kajima,d00010150ee,d0001003b30,d0001003cd5,d0001014057,d0001014058,d0001014149,d00010142a8,d00010150ff,d0001015154,d0001015161,d000101516f,d000101518a,d0001015192,d00010151cf,d00010151f4,d0001015220,d0001015272,d00010152a0,d00010152c3,d000101530c,d0001014224
2020-06-26 00:00:00,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 00:10:00,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 00:20:00,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 00:30:00,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 00:40:00,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 00:50:00,0.01,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 01:00:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 01:10:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 01:20:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 01:30:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 01:40:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 01:50:00,0.01,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 02:00:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 02:10:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 02:20:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 02:30:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 02:40:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 02:50:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 03:00:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 03:10:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 03:20:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 03:30:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 03:40:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 03:50:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 04:00:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 04:10:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 04:20:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 04:30:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 04:40:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 04:50:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 05:00:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 05:10:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 05:20:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 05:30:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 05:40:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 05:50:00,0.01,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 06:00:00,0.01,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 06:10:00,0.01,0.5,0.5,0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,0.5,1.5,1,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 06:20:00,0.01,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0,1.5,0.5,0,0.5,1.5,1,1.5,0,0.5,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 06:30:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 06:40:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 06:50:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 07:00:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 07:10:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 07:20:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 07:30:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 07:40:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 07:50:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 08:00:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 08:10:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
2020-06-26 08:20:00,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,41,34,28,33,214,23,23,12,39,62,47,37,17,1,24,41,18,26
