date,zeniba,haregamine,seikaen,kagamiko,kanazawa,osawa,shiyakusho,tamagawahoikuen,izuminohoikuen,hakubutsukan,kohigashihoikuen,yonezawahoikuen,kashiwabarakominkan,kirigamine,shirakabako,kitayatsugatake,okutateshina,minoto,haramura,toyokanko,tokyu,alpico,village,mitsuinomori,kajima,d00010150ee,d0001003b30,d0001003cd5,d0001014057,d0001014058,d0001014149,d00010142a8,d00010150ff,d0001015154,d0001015161,d000101516f,d000101518a,d0001015192,d00010151cf,d00010151f4,d0001015220,d0001015272,d00010152a0,d00010152c3,d000101530c,d0001014224
2020-09-29 12:50:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.6,32.9,33.7,31.9,20.8,12.7,160.9,0,13.8,4.3,34.2,45.2,41,24,12.6,0,3.3,21,9.6,19.3
2020-09-29 13:00:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.6,32.9,33.7,31.9,20.8,12.7,160.9,0,13.9,4.3,34.2,45.2,41,24,12.6,0,3.3,21,9.6,19.3
2020-09-29 13:10:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.6,32.9,33.7,31.9,20.8,12.6,160.8,0,14,3.5,34.2,45.2,41,24,12.6,0,3.3,21,9.6,19.3
2020-09-29 13:20:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.7,32.9,33.7,31.9,20.8,12.6,160.8,0.2,14,3.5,34.2,45.2,41,24,12.6,0,3.3,21,9.6,19.3
2020-09-29 13:30:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.7,32.9,33.7,31.9,20.8,12.6,160.8,0.2,13.8,3.5,34.2,45.2,41,24,12.6,0.1,3.2,21,9.6,19.3
2020-09-29 13:40:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.7,32.4,33.7,31.9,20.8,12.7,160.8,0.2,13.8,1,34.2,45.2,41,24,12.6,0.1,3.2,21,9.6,19.3
2020-09-29 13:50:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.7,32.4,33.7,31.9,20.8,12.7,160.8,0,13.8,1,34.2,45.2,41,24,12.6,0.1,3.2,21,9.6,19.3
2020-09-29 14:00:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.7,32.4,33.7,31.9,20.8,12.7,160.8,0,13.8,1,34.2,45.2,41,24,12.6,0.1,3.2,21,9.6,19.3
2020-09-29 14:10:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.7,32.4,33.7,31.9,20.8,12.8,160.8,0,13.8,4.1,34.2,45.2,41,24,12.6,0.1,3.2,21,9.6,19.3
2020-09-29 14:20:00,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,1.7,32.4,33.7,31.9,20.8,12.8,160.8,0,13.8,4.1,34.2,45.2,41,24,12.6,0.1,3.2,21,9.6,19.3
